Farbwert;Vordergrund_Index;Vordergrund_Name;Vordergrund_Hex;Hintergrund_Index;Hintergrund_Name;Hintergrund_Hex;Beschreibung
221;13;Hellmagenta;#FF55FF;13;Hellmagenta;#FF55FF;Hellmagenta auf Hellmagenta
222;14;Gelb;#FFFF55;13;Hellmagenta;#FF55FF;Gelb auf Hellmagenta
223;15;Weiss;#FFFFFF;13;Hellmagenta;#FF55FF;Weiss auf Hellmagenta
224;0;Schwarz;#000000;14;Gelb;#FFFF55;Schwarz auf Gelb
225;1;Blau;#0000AA;14;Gelb;#FFFF55;Blau auf Gelb
226;2;Gruen;#00AA00;14;Gelb;#FFFF55;Gruen auf Gelb
227;3;Cyan;#00AAAA;14;Gelb;#FFFF55;Cyan auf Gelb
228;4;Rot;#AA0000;14;Gelb;#FFFF55;Rot auf Gelb
229;5;Magenta;#AA00AA;14;Gelb;#FFFF55;Magenta auf Gelb
230;6;Braun;#AA5500;14;Gelb;#FFFF55;Braun auf Gelb
231;7;Hellgrau;#AAAAAA;14;Gelb;#FFFF55;Hellgrau auf Gelb
232;8;Dunkelgrau;#555555;14;Gelb;#FFFF55;Dunkelgrau auf Gelb
233;9;Hellblau;#5555FF;14;Gelb;#FFFF55;Hellblau auf Gelb
234;10;Hellgruen;#55FF55;14;Gelb;#FFFF55;Hellgruen auf Gelb
235;11;Hellcyan;#55FFFF;14;Gelb;#FFFF55;Hellcyan auf Gelb
236;12;Hellrot;#FF5555;14;Gelb;#FFFF55;Hellrot auf Gelb
237;13;Hellmagenta;#FF55FF;14;Gelb;#FFFF55;Hellmagenta auf Gelb
238;14;Gelb;#FFFF55;14;Gelb;#FFFF55;Gelb auf Gelb
239;15;Weiss;#FFFFFF;14;Gelb;#FFFF55;Weiss auf Gelb
240;0;Schwarz;#000000;15;Weiss;#FFFFFF;Schwarz auf Weiss
241;1;Blau;#0000AA;15;Weiss;#FFFFFF;Blau auf Weiss
242;2;Gruen;#00AA00;15;Weiss;#FFFFFF;Gruen auf Weiss
243;3;Cyan;#00AAAA;15;Weiss;#FFFFFF;Cyan auf Weiss
244;4;Rot;#AA0000;15;Weiss;#FFFFFF;Rot auf Weiss
245;5;Magenta;#AA00AA;15;Weiss;#FFFFFF;Magenta auf Weiss
246;6;Braun;#AA5500;15;Weiss;#FFFFFF;Braun auf Weiss
247;7;Hellgrau;#AAAAAA;15;Weiss;#FFFFFF;Hellgrau auf Weiss
248;8;Dunkelgrau;#555555;15;Weiss;#FFFFFF;Dunkelgrau auf Weiss
249;9;Hellblau;#5555FF;15;Weiss;#FFFFFF;Hellblau auf Weiss
250;10;Hellgruen;#55FF55;15;Weiss;#FFFFFF;Hellgruen auf Weiss
251;11;Hellcyan;#55FFFF;15;Weiss;#FFFFFF;Hellcyan auf Weiss
252;12;Hellrot;#FF5555;15;Weiss;#FFFFFF;Hellrot auf Weiss
253;13;Hellmagenta;#FF55FF;15;Weiss;#FFFFFF;Hellmagenta auf Weiss
254;14;Gelb;#FFFF55;15;Weiss;#FFFFFF;Gelb auf Weiss
255;15;Weiss;#FFFFFF;15;Weiss;#FFFFFF;Weiss auf Weiss
